aX,aY,aZ
0.443,-0.003,0.632
0.451,-0.039,0.649
0.436,-0.115,0.652
0.432,-0.173,0.669
0.432,-0.196,0.689
0.42,-0.256,0.694
0.405,-0.308,0.712
0.383,-0.326,0.768
0.387,-0.356,0.799
0.402,-0.418,0.841
0.412,-0.465,0.853
0.422,-0.477,0.852
0.433,-0.474,0.867
0.443,-0.469,0.865
0.49,-0.504,0.849
0.571,-0.539,0.802
0.61,-0.538,0.774
0.667,-0.53,0.774
0.743,-0.533,0.79
0.77,-0.547,0.82
0.822,-0.551,0.829
0.858,-0.539,0.846
0.879,-0.53,0.861
0.931,-0.537,0.853
0.96,-0.546,0.821
0.956,-0.534,0.799
0.943,-0.483,0.798
0.955,-0.481,0.766
0.963,-0.481,0.738
0.89,-0.498,0.71
0.979,-0.527,0.702
1.017,-0.485,0.658
0.827,-0.461,0.677
0.854,-0.396,0.727
0.841,-0.437,0.661
0.748,-0.526,0.639
0.75,-0.504,0.673
0.742,-0.455,0.739
0.712,-0.435,0.759
0.669,-0.414,0.766
0.657,-0.404,0.771
0.648,-0.416,0.637
0.629,-0.449,0.738
0.62,-0.458,0.74
0.609,-0.459,0.735
0.608,-0.478,0.734
0.616,-0.466,0.768
0.621,-0.435,0.778
0.622,-0.417,0.795
0.602,-0.405,0.817
0.602,-0.396,0.845
0.605,-0.349,0.881
0.632,-0.328,0.916
0.656,-0.319,0.915
0.669,-0.293,0.953
0.676,-0.292,0.948
0.684,-0.243,0.972
0.687,-0.184,1.017
0.74,-0.177,1.032
0.783,-0.174,1.024
0.801,-0.166,1.005
0.805,-0.166,0.998
0.819,-0.157,0.993
0.81,-0.147,0.991
0.799,-0.143,0.977
0.783,-0.141,0.988
0.779,-0.128,0.991
0.761,-0.131,0.988
0.753,-0.154,0.957
0.728,-0.143,0.921
0.707,-0.141,0.874
0.71,-0.098,0.924
0.718,-0.079,0.921
0.693,-0.094,0.874
0.63,-0.113,0.824
0.644,-0.159,0.809
0.64,-0.144,0.812
0.638,-0.13,0.813
0.627,-0.123,0.808
0.621,-0.129,0.799
0.618,-0.134,0.786
0.627,-0.173,0.771
0.622,-0.178,0.763
0.621,-0.178,0.763
0.622,-0.168,0.769
0.627,-0.191,0.773
0.627,-0.208,0.766
0.624,-0.211,0.771
0.623,-0.198,0.774
0.615,-0.185,0.778
0.62,-0.175,0.786
0.63,-0.168,0.787
0.625,-0.163,0.788
0.623,-0.159,0.8
0.629,-0.156,0.807
0.629,-0.142,0.82
0.622,-0.135,0.823
0.621,-0.13,0.817
0.621,-0.125,0.804
0.62,-0.119,0.794
0.609,-0.117,0.792
0.597,-0.107,0.8
0.594,-0.105,0.805
0.582,-0.111,0.805
0.574,-0.127,0.807
0.562,-0.135,0.804
0.545,-0.14,0.802
0.539,-0.15,0.8
0.526,-0.155,0.8
0.514,-0.161,0.802
0.51,-0.16,0.798
0.499,-0.161,0.793
0.489,-0.168,0.787
0.487,-0.165,0.778
0.479,-0.159,0.777
0.48,-0.141,0.782
0.481,-0.152,0.78
0.503,-0.173,0.779
0.513,-0.167,0.792
0.528,-0.168,0.798
0.539,-0.162,0.799
0.54,-0.149,0.8
0.543,-0.141,0.809
0.556,-0.17,0.805
0.575,-0.183,0.803
0.583,-0.189,0.834
0.609,-0.199,0.848
0.635,-0.213,0.872
0.649,-0.249,0.889
0.68,-0.267,0.904
0.725,-0.3,0.915
0.748,-0.329,0.942
0.795,-0.343,0.955
0.838,-0.365,0.986
0.982,-0.401,1
0.895,-0.411,1.009
0.92,-0.441,1.018
0.947,-0.475,1.032
0.964,-0.491,1.032
0.979,-0.515,1.029
0.982,-0.54,1.023
0.978,-0.549,1.011
0.954,-0.566,1.01
0.951,-0.601,0.973
0.95,-0.605,0.952
0.925,-0.622,0.941
0.923,-0.642,0.915
0.921,-0.64,0.916
0.927,-0.705,0.908
0.944,-0.785,0.913
0.907,-0.644,0.858
0.935,-0.876,0.853
0.926,-0.865,0.81
0.844,-0.834,0.812
0.806,-0.854,0.806
0.786,-0.863,0.795
0.761,-0.86,0.781
0.721,-0.865,0.781
0.71,-0.881,0.772
0.711,-0.874,0.779
0.703,-0.874,0.778
0.7,-0.868,0.778
0.695,-0.861,0.773
0.679,-0.858,0.798
0.65,-0.832,0.824
0.641,-0.8,0.823
0.64,-0.772,0.842
0.648,-0.749,0.849
0.667,-0.759,0.839
0.654,-0.719,0.801
0.603,-0.684,0.78
0.542,-0.613,0.78
0.504,-0.55,0.776
0.431,-0.524,0.768
0.344,-0.464,0.754
0.285,-0.386,0.709
0.175,-0.349,0.661
0.061,-0.195,0.65
0,-0.004,0.584
-0.148,-0.007,0.4
-0.302,0.115,0.433
-0.376,0.242,0.37
-0.51,0.305,0.368
-0.645,0.447,0.353
-0.716,0.645,0.356
-0.857,0.723,0.318
-0.962,0.889,0.288
-1.006,1.052,0.243
-1.08,1.149,0.231
-1.147,1.347,0.243
-1.175,1.514,0.279
-1.186,1.566,0.346
-1.181,1.672,0.394
-1.177,1.758,0.528
